Question Asked,Date Question Asked,Posters Location,Text of Question,Question Header
Are the tear drop gummy bear implants used in breast reconstruction?,"April 21, 2020","Pittsburgh, PA",Just had my last fill today. I had a skin sparring DMX with expanders under the muscle 8 weeks ago. I have been researching gummy bear implants.,Are the tear drop gummy bear implants used in breast reconstruction?
Tissue expansion still hurts on my radiated RT side & is tight and square. I know my PS has done a wonderful job so far. (photo),"July 28, 2015","Ogden, UT","So during the exchange surgery if it's the Alloderm giving me issues can it be replaced even though I've had radiation on that side? does the Alloderm get tight and less flexible after radiation? It seems like I have enough tissue underneath my right breast, but still feels super tight. Does it look like the drain tube site healed funny and can it be fixed? like it's attached to something higher inside. Does messaging the chest help with relaxing the skin?",Tissue expansion still hurts on my radiated RT side & is tight and square. I know my PS has done a wonderful job so far. (photo)
Is an implant possible after 2 infections? (Photos),"January 16, 2020","Durham, NC","Stage 2b breast cancer. SIngle mastectomy and 30 days of radiation with implant in. I had an infection that required the removal of my implant. I then tried again, got another infection that resulted in the removal of my tissue expander. With the tissue expander, I had the Latissimus Dorsi Flap procedure. What are my options for trying reconstruction again?",Is an implant possible after 2 infections? (Photos)
Am I a candidate for DIEP FLAP surgery?,"September 13, 2019",,"I'm concerned about not having enough fat to have a bi-lateral mastectomy and reconstruction with DIEP FLAP surgery. My BMI is 22.29 weight 138, height 5' 6""; 66 years old. I'm trying to schedule a consult but the local doctors who perform this surgery are booked 3-4 months out. I have been diagnosed with cancer and would like to have surgery sooner rather than later. If DIEP Is not an option for me I will go forward with other options. Thank you",Am I a candidate for DIEP FLAP surgery?
I'm in good health; what's the maximum age for breast reconstruction for a woman with bilateral mastectomy done 10 yrs ago?,"September 4, 2019","Seattle, WA",,I'm in good health; what's the maximum age for breast reconstruction for a woman with bilateral mastectomy done 10 yrs ago?
If I go flat instead of getting implants is it just as easy to get an infection?,"April 12, 2019",Red Oak Tx,I have a tissue expander now completley fill and decided to go flat. Is the operation just as easy to get an infection as if I had the implant put in. Are there any risk on going flat. I was a d cup before surgery and now have 850cc and ended up with about a A cup. Was told that's as big as I will get. Was told if I go flat I will be incaved. Is there anything I can do about that. Disappointed and just want to be done but don't want to regret my decision.,If I go flat instead of getting implants is it just as easy to get an infection?
What could this horrible acidic-like sweat smell be after my surgery?,"September 13, 2018","Mettmann, 07",I just had a Double preventive mastectomy a month ago. It was over the muscle and got implants right away. I’ve noticed that (mostly under my left arm) i am producing a horrible “sweat smell”. It is kind of acidic and I’ve never smelled that on me before surgery. Also I can’t exercise yet so it comes from only sitting around the house or walking a bit. But it’s still really strong and intense. What could this be?,What could this horrible acidic-like sweat smell be after my surgery?
I'm looking for a surgeon that accepts Medicaid in the Birmingham and surrounding areas. I've had a bilateral mastectomy (Photo),"April 23, 2018","Wisconsin, WI",What signs or things should I look for in picking my plastic surgeon as well as what signs should send me running out the door. I didn't think it would be this difficult,I'm looking for a surgeon that accepts Medicaid in the Birmingham and surrounding areas. I've had a bilateral mastectomy (Photo)
Why is my left breast with expander so shiny and lumpy looking?,"May 6, 2017","Alameda, CA","Feb 20th I had Latissimus flap with expander put in for left breast, and a skin sparing mastectomy on right. I noticed on left breast with expander is really shiny, red and looks lumpy along the top of expander. Is this normal? I had complications during the placement of the expanders due to having diabetes insipidus. I'm dealing with adrenal insufficiency, sodium, and thyroid problems. I'm having expanders replaced next week for implants and I'm concerned about the surgery. Please help??",Why is my left breast with expander so shiny and lumpy looking?
"Breast cancer; started reconstruction with expanders and did last fill yesterday, getting me to 600 cc or D cup?","November 19, 2016","San Antonio, TX","Pain has increased--alternated icing and heat. Today, took 800 ibuprophen, 10 mg Oxcy IR, .5 mg Xanax, 10 mg valium. Slept on back last night because was too painful to lay side. Plan to continue valium at 5 mg, 10 mg Oxy and/or 800 mg ibuprophen or 200 mg Celebrex, as well as continue alternating ice and heat. I think I'm happy with ny D cup size so don't plan on taking out any saline. Any advice on meds soI don't overdo it? Implant swap scheduled for 6 Jan 17. Swelling and very tender breasts.","Breast cancer; started reconstruction with expanders and did last fill yesterday, getting me to 600 cc or D cup?"
Will Silicone Implants for Breast Reconstruction Soften over Time?,"June 17, 2010",New Jersey,"Mastectomy/Silicone Implant Reconstruction. 11 days ago I had my final reconstruction surgery with silicone implants. I am happy with how they look but the feel very firm, stiff and almost hard. They just stay in place. Is that normal? Will they soften?",Will Silicone Implants for Breast Reconstruction Soften over Time?
