Question Asked,Date Question Asked,Posters Location,Text of Question,Question Header,Question Type,Tag
Recovery Time After Exchange Surgery of TE and Silicone Implants?,13-Jan-13,"Saint Albans, WV","It has been just over two weeks that I had my exchange surgery,...tissue expanders to 700 cc's silicone implants. I wear a bandage over the top part of my breasts to help the implants to ""drop"", but I have had an intense amount of itching. Is this normal? Also, I work at a job that requires me to be on my feet all day and on the move constantly. How long should I be off work to insure an optimum recovery?",Recovery Time After Exchange Surgery of TE and Silicone Implants?,After Procedure Only,tissue expander
Post Radiotherapy my Tissue Expander Became Infected. Will the Skin Survive to Stretch for Another Expander/implant?,17-May-13,,I've had a left side mastectomy and lymph removal. Post radiotherapy (feb 2013) the port of my tissue expander was infected with staph aureus and removed. The infection returned. I've been advised to have the expander out and leave it for 3 months before attempting reconstruction. What will happen to the skin that is left? I'd like to avoid flap surgery as I'm very slim and it's major surgery. What are the chances of the skin surviving 3 mths for another expander and implant rather than flaps?,Post Radiotherapy my Tissue Expander Became Infected. Will the Skin Survive to Stretch for Another Expander/implant?,After Procedure Only,tissue expander
How does alloderm help reduce capsular occurrence ?,20-Jul-14,"Conifer, CO",i have alloderm in place to form the pocket for my tissue expanders but i read doctors comments saying they use it additionally to reduce risk of capsular contracture when the implalnt exchange is done..where is alloderm placed to do this? is it stitched to the pectoral muscle or just laid over the implant? i am having a hard time grasping this procedure in my mind,How does alloderm help reduce capsular occurrence ?,After Procedure Only,tissue expander
"I have breast implants after breast cancer, and it feels like the port is still there, after tissue expander. What should I do?",3-Aug-14,"London, GB",I had my right breast removed due to breast cancer and had a delayed reconstruction. i had what i think was a tissue expander with a port to inject saline but now ive had my final op to replace with an implant but it still feel like i have the port there? so i am confused as i didn't realise this till i was home and i wont be seeing my surgeon till next week. can you think what this could be?,"I have breast implants after breast cancer, and it feels like the port is still there, after tissue expander. What should I do?",After Procedure Only,tissue expander
How long should tissue expanders be left in place after breast surgery?,10-Aug-14,"Little York, IN",I had surgery in March of 2013. I still have the expanders in since I have not felt well enough to undergo surgery again. Is there a problem with leaving them in this long,How long should tissue expanders be left in place after breast surgery?,After Procedure Only,tissue expander
Can Seroma and capsular contracture be corrected with breast revision or reconstruction if implant is removed?,30-Aug-14,"Cape Coral, FL","About 6 weeks after my tissue expander exchange with gel implants I developed a second mound beneath my breast. The mound developed a small round wound that oozed fluid. This oozing has continued for 8 weeks at this point and the implant has hardened. I understand that the implant may need to be removed. However, will I be able to have another implant placed at a later date or some type of breast reconstruction?",Can Seroma and capsular contracture be corrected with breast revision or reconstruction if implant is removed?,After Procedure Only,tissue expander
Why is it so painful after receiving injections in the tissue expanders?,15-Oct-14,breast,,Why is it so painful after receiving injections in the tissue expanders?,After Procedure Only,tissue expander
2 days post-op. Is this the beginning of necrosis? (Photo),26-Sep-14,"Phoenix, AZ","Drinking tons of water, deep breathing exercises, walking easily around the pool and taking concentrated Vitamin C. Is there anything else I can do to keep my blood oxygen level high? Double mastectomy with tissue expanders done early morning, Thursday 9/25/14.",2 days post-op. Is this the beginning of necrosis? (Photo),After Procedure Only,tissue expander
Extra large breast implants after mastectomy,28-Oct-14,"Fremont, CA",hi i want to know women who had mastectomy and done beast reconstruction with tissue expanders can change their implants to extra large breast implants like 2000cc with several operation ? or can stretch their skin up to 2000cc or more with tissue expanders?(just for women had mastectomy),Extra large breast implants after mastectomy,After Procedure Only,tissue expander
My dr. Is telling me that there is is a deadline of 6 months to take them out. Can the the expanders stay in over 6-9months?,27-Oct-14,"Daleville, AL",I have Breast tissue expanders. I am going through chemo and radiation.i am aware of the radiation damage.,My dr. Is telling me that there is is a deadline of 6 months to take them out. Can the the expanders stay in over 6-9months?,After Procedure Only,tissue expander
Why is there a high risk of getting an infection from tissue expander/implant reconstruction?,21-Oct-14,"Fall City, WA","I have already had a prophylactic mastectomy and then tissue expander/implant reconstruction. I had no problem with the tissue expanders, but the implants got infected and both had to be removed and now I have to start all over again with reconstruction. What is the cause of the infection. Is it from these not being sterile in the operating room?",Why is there a high risk of getting an infection from tissue expander/implant reconstruction?,After Procedure Only,tissue expander
Going from 750 Cc's in Tissue Expanders to 650 Cc's Silicone Implants?,25-Nov-12,"Saint Albans, WV","In a month I will be going for my exchange surgery. I have had my expanders filled to 750 cc's, even the side that was radiated many years ago. My plastic surgeon plans on using 650cc's implants. I am currently wearing a 36D sports bra and I am 5'6"" and weigh about 175 pounds. Will I be approximately the same size after surgery? My expansion has gone very well.",Going from 750 Cc's in Tissue Expanders to 650 Cc's Silicone Implants?,After Procedure Only,tissue expander
"I am 7 weeks post bilateral mastectomy with flap and tissue expanders, have swelling on both both breast. What can be going on?",20-Nov-13,,"Had bilateral mastectomy with flap reconstruction and tissue expanders 7 week ago. Had last 2 of my 6 drains removed at week 6 after treatment for cellulitis on the left breast. Have swelling on both breast and had fluid removed 6 days after drains removed. Both breast every swollen and uncomfortable. I am a kidney transplant patient as well, have had my transplant for 17 years.","I am 7 weeks post bilateral mastectomy with flap and tissue expanders, have swelling on both both breast. What can be going on?",After Procedure Only,tissue expander
I am six weeks post op from a breast reconstruction. Recon breast has bottomed out and augmentation breast is too high? (photo),24-Nov-13,"Towson, MD",I had a tissue expander exchange to a silicone implant on my right breast and a lift and augmentation to my left breast to achieve symmetry and the larger breasts I always wanted. Surgeon said she had to go smaller than I wanted. The right mastectomy implant has bottomed out and the left augmentation is still too high and very hard. She wants to do a fold reconstruction for the right and a procedure to lower the implant on the left. Is this normal? Is there something else I should consider?,I am six weeks post op from a breast reconstruction. Recon breast has bottomed out and augmentation breast is too high? (photo),After Procedure Only,tissue expander
Reddened area under left breast following Mastectomy (Photo),5-Feb-14,,I had bilat mastectomy dec 17 with immediate reconstruction with insertion of tissue expanders. After my 2nd fill the left breast developed a reddened area underneath it. I thought it might be from pressure. The left breast doesn't have the rounded appearance that the right side has ( no red area in the right). Any ideas?,Reddened area under left breast following Mastectomy (Photo),After Procedure Only,tissue expander
Bi Laterall Mastectomy Breast Reconstruction Tissue Expander Infection?,20-Jun-13,,"This involves a medical negligence claim. If an infection occurred within 24 - 48 hrs of 1st June, is it likely that in only 72 hours it can cause such a significant build up that aprox 40 - 50 mls of pus which was removed under ultra sound on the 2nd June. Further more a matter of 24 hrs later complete wound dehiscence from the same breast which burst open gushing out further mucus all over the hospital room floor. Fail to see how this could be possible in such a short time.",Bi Laterall Mastectomy Breast Reconstruction Tissue Expander Infection?,After Procedure Only,tissue expander
